nrCrt,Denumire agent economic,cod unic de inregistrare
569,FOFIU FLORIN PFA,30872290
570,Foldes Ildiko,33183893
571,Folea Catalina - Nicoleta Intreprindere Individuala,32980824
572,FORCE SERVICII SRL,RO5922923
573,FOREX INVEST SRL,RO10161799
574,FORM SPACE EVENTS SRL,RO36469335
575,FORMULA D SRL,3582418
576,FORTIUS COM SRL,RO5289199
577,FOUR PEOPLE MINIMARKET SRL,39855241
578,FUEL MANAGEMENT,RO17523071
579,Fuel station team srl,RO35165869
580,FULGERUL SRL,RO193190
581,G&G LaTarko SRL,RO36501380
582,G.P. S.R.L.,RO1640504
583,G.V.A. Mixt Smart Srl,RO37496087
584,Gabi & Ellamih,39489345
585,Gabifruit srl,RO20631073
586,Gabriela Catana SRL,17161796
587,GACHE MONICA ALINA INTREPRINDERE INDIVIDUALA,36219355
588,GAJ COMIMPEX SRL,RO6919500
589,GAL OCTA INVEST SRL,RO10249638
590,GALAXIA SRL,4493114
591,GAMA FAMILY SHOP SRL,39425309
592,GAMS IMPEX SRL,RO8946269
593,GAROSI 94 PRODIMPEX  SRL,RO14715510
594,GAS STATION SUN ROUTE SRL,RO27615504
595,Gasicom,RO5598267
596,GAVREA LUK SRL,25108572
